specimen_id,coord_id,x,y
1,0,37,561
1,1,40,540
1,2,40,529
1,3,43,508
1,4,46,487
1,5,48,477
1,6,52,456
1,7,54,435
1,8,57,414
1,9,59,403
1,10,61,382
1,11,63,361
1,12,64,350
1,13,64,329
1,14,64,308
1,15,64,298
1,16,62,277
1,17,60,256
1,18,58,245
1,19,54,224
1,20,50,203
1,21,48,193
1,22,45,172
1,23,42,150
1,24,40,129
1,25,40,119
1,26,40,98
1,27,44,77
1,28,47,66
1,29,59,45
1,30,80,29
1,31,90,25
1,32,111,19
1,33,132,17
1,34,143,15
1,35,164,14
1,36,185,15
1,37,196,15
1,38,217,16
1,39,238,18
1,40,259,24
1,41,269,27
1,42,290,40
1,43,307,60
1,44,311,71
1,45,315,92
1,46,316,113
1,47,316,124
1,48,315,145
1,49,315,166
1,50,315,176
1,51,313,197
1,52,312,218
1,53,311,229
1,54,311,250
1,55,308,271
1,56,306,292
1,57,305,302
1,58,303,324
1,59,300,345
1,60,299,355
1,61,297,376
1,62,294,397
1,63,292,408
1,64,291,429
1,65,290,450
1,66,290,460
1,67,291,481
1,68,292,502
1,69,295,523
1,70,297,534
1,71,301,555
1,72,305,576
1,73,307,587
1,74,310,608
1,75,311,629
1,76,310,639
1,77,310,660
1,78,307,681
1,79,304,692
1,80,296,713
1,81,284,733
1,82,278,744
1,83,268,765
1,84,260,786
1,85,254,807
1,86,251,817
1,87,248,838
1,88,246,859
1,89,245,870
1,90,242,891
1,91,240,912
1,92,239,922
1,93,237,944
1,94,235,965
1,95,234,975
1,96,231,996
1,97,229,1017
1,98,228,1028
1,99,233,1049
1,100,229,1068
1,101,232,1087
1,102,226,1096
1,103,205,1101
1,104,183,1102
1,105,173,1102
1,106,152,1101
1,107,131,1100
1,108,120,1098
1,109,105,1082
1,110,112,1065
1,111,109,1055
1,112,111,1034
1,113,110,1013
1,114,110,1002
1,115,108,981
1,116,105,960
1,117,103,939
1,118,103,928
1,119,101,907
1,120,98,886
1,121,96,876
1,122,96,855
1,123,94,834
1,124,93,823
1,125,89,802
1,126,82,781
1,127,79,771
1,128,69,749
1,129,59,728
1,130,54,718
1,131,45,698
1,132,38,677
1,133,34,656
1,134,33,645
1,135,33,624
1,136,34,603
1,137,35,593
2,0,53,535
2,1,53,525
2,2,54,505
2,3,53,495
2,4,54,485
2,5,54,464
2,6,54,454
2,7,54,444
2,8,54,424
2,9,53,414
2,10,53,404
2,11,54,384
2,12,54,374
2,13,54,364
2,14,53,343
2,15,54,333
2,16,53,323
2,17,53,313
2,18,54,293
2,19,54,283
2,20,52,273
2,21,51,253
2,22,51,243
2,23,52,232
2,24,53,212
2,25,54,202
2,26,54,192
2,27,52,172
2,28,53,162
2,29,53,152
2,30,51,132
2,31,51,122
2,32,53,111
2,33,55,91
2,34,58,82
2,35,60,72
2,36,75,53
2,37,84,47
2,38,94,42
2,39,113,34
2,40,124,31
2,41,134,29
2,42,144,28
2,43,164,26
2,44,174,26
2,45,184,26
2,46,203,28
2,47,213,29
2,48,223,31
2,49,243,35
2,50,253,39
2,51,263,42
2,52,281,52
2,53,291,60
2,54,297,69
2,55,305,89
2,56,304,99
2,57,306,109
2,58,310,130
2,59,310,140
2,60,310,150
2,61,310,170
2,62,309,180
2,63,309,190
2,64,308,210
2,65,308,220
2,66,310,230
2,67,310,251
2,68,310,261
2,69,309,271
2,70,311,291
2,71,308,301
2,72,308,311
2,73,310,321
2,74,310,341
2,75,310,351
2,76,311,362
2,77,311,382
2,78,312,392
2,79,310,402
2,80,311,422
2,81,311,432
2,82,311,442
2,83,311,462
2,84,311,472
2,85,312,483
2,86,310,503
2,87,311,513
2,88,312,523
2,89,311,543
2,90,311,553
2,91,309,563
2,92,304,583
2,93,299,593
2,94,295,604
